timestamp,x,y
1774436223760827119,-0.174582,-0.200498
1774436224060964647,0.255981,-0.0444904
1774436224361096477,1.28854,0.67856
1774436224661219704,2.46613,1.29684
1774436224961389285,3.73134,1.91041
1774436225261613732,4.47691,2.36967
1774436225561819380,5.19588,2.695
1774436225861990493,6.31272,3.15067
1774436226162529148,7.41692,3.62411
1774436226462705974,8.32279,4.23551
1774436226762847557,9.23502,4.68672
1774436227062986110,10.3993,5.19925
1774436246390236307,11.5764,5.78546
1774436227660423177,12.6116,6.09913
1774436227960600152,13.5559,6.55617
1774436228260839802,14.607,7.1679
1774436228560987278,15.7267,7.78864
1774436228861171811,16.8199,8.32515
1774436229161420557,17.5619,8.87758
1774436229461587540,18.2659,9.34941
1774436229761782004,19.4538,9.81992
1774436230062011411,20.7366,10.2615
1774436230362193297,21.6298,10.6007
1774436230662409424,22.3213,11.1724
